id,brand,title,description,price,cluster_id,pricecurrency,page_url
974,,D'ADDARIO NYXL SUPER LIGHT 9/42 ELECTRIC STRINGS,"D’Addario NYXL guitar strings will bend farther, sing louder, and stay in tune better than any string you’ve played before. Envisioned, perfected, and manufactured by D’Addario in New York, this newly engineered, break-resistant, high-carbon steel core and plain steel alloy delivers a whole new level of freedom, confidence, and power. NYXL’s provide more strength and up to 131% greater tuning stability by utilizing a completely reinvented wire drawing process coupled with a revolutionary “fusion twist” process for the plain steels. The reformulated nickel plated string windings have greater magnetic properties resulting in higher output and enhanced mid-range frequency response for more presence and crunch.",25.99,829,,
975,,Crucial 1x 8GB DDR3L 1600MHz ECC Unbuffered UDIMM RAM | Discount Computer Needs,"View and shop for Crucial 1x 8GB DDR3L 1600MHz ECC Unbuffered UDIMM RAM, Memory RAM, and many more products at Discount Computer Needs.",269.00,333,,
976,,OMEGA Seamaster Steel yellow gold Anti-magnetic 210.20.42.20.03.001,"We serve hundreds of thousand customers yearly. We provide guaranteed free delivery and world-class customer support service. Strict Quality control and timely manner delivery is our utmost policy. At Cloudwatches replica watches shop, each order is shipped with strict quality control and manually reviews at each step of packaging whereas customer's database is kept with world top security. Therefore you can be sure of your purchase from the step of logging into your account until your package delivers at your doorstep. Here in our online store, Purchase top quality replica OMEGA Seamaster Steel yellow gold Anti-magnetic 210.20.42.20.03.001 watches at Cloudwatches.co.Replica Watch DetailsSince 1993, the Seamaster Professional Diver 300M has enjoyed a legendary following. Today's modern collection has embraced that famous ocean heritage and updated it with OMEGA's best innovation and design. This 42 mm model is crafted from stainless steel and 18K yellow gold, and includes a blue ceramic bezel with a Ceragold diving scale. The dial is also polished blue ceramic and features laser-engraved waves and a date window at 6 o'clock. The skeleton hands and raised indexes are 18K yellow gold and are filled with white Super-LumiNova, while the helium escape valve has been given a conical design. The watch is presented on a stainless steel and 18K yellow gold bracelet and is driven by the OMEGA Master Chronometer Calibre 8800, which can be seen through the sapphire-crystal on the wave-edged caseback.The Technical DataBetween lugs: 20mmBracelet: Steel yellow goldCase: Steel yellow goldCase diameter: 42mmDial color: BlueCrystal: Domed scratch-resistant sapphire crystal with anti-reflective treatment on both sides",142,704,,
977,,"Intel i9-9900, 3.6 GHz, 1151, Processor threads 16, Packing Retail, Processor cores 8, Component for PC",,2125.75,384,,
978,Ubiquiti,Ubiquiti Networks UniFi AC HD 5-Pack,"RJ45 x 2, USB Type C, 802.11a/b/g/n/ac/ac-wave2, 5 pcs",1449.00,131,,
979,,Shimano Ultegra PD-R8000 SPD-SL Carbon Pedal,"Lightweight carbon-composite bodyExtra-wide platform for a more efficient transfer of powerDurable stainless steel body plate reduces flex and pedal body wearWide bearing placement for stable, uniform load distributionAdjustable entry and release tension settingsThe SHIMANO style, quality and durability cyclists value4 mm longer axle availableMODEL NO PD-R8000SERIES SHIMANO ULTEGRA R8000 SeriesRemarks 4 mm longer axle availableWide platformRoad clearance 33Binding Single SidedCartridge axleCleat included SM-SH11Cleat retention adjusterSealed mechanismWeight (g) 248 g",239.99,830,,
980,,Corsair Carbide Series 175R RGB Tempered Glass,,299,57,,
981,,Ubiquiti UniFi UVC-G3-PRO - network surveillance camera,"The UniFi Video Camera is designed for use indoors or outdoors under an overhang. The camera has infrared LEDs with automatic IR cut filter. Accessible from a web browser, the UniFi video interface was designed to be easy to use yet packed with advanced features. The UniFi video interface is incredibly intuitive and loaded with powerful features such as detailed statistical reporting, multiple views, versatile camera settings, advanced analytics, and customizable event recordings.",303.99,657,,
982,https://www.leadersystems.com.au/Images/MECMD4VL1X824.jpg,Corsair Vengeance LPX 8GB (1x8GB) DDR4 2400MHz 1.2V C14 14-16-16-31 Black Desktop Memory,Corsair Vengeance LPX 8GB (1x8GB) DDR4 2400MHz 1.2V C14 14-16-16-31 Black Desktop Memory,51.0,319,,
983,Manfrotto,Manfrotto MVK502055XPRO3 Video Kit with MVH502AH Head and 055X3 Aluminum Tripod,29.33 in Closed Length 15.43 lbs Load Capacity 9.24 lbs Weight 72.24 inMax Height 27.56 in Min. Height The new MVK502055XPRO3 is a video hybrid kit composed by MVH502AH fluid video head flat base and 055XPRO3 photo tripod for professional features thanks to high performance variable fluidity with also a...,329.88,831,,
984,,Apple - AirPods with Wireless Charging Case (Latest Model) - White,,159,832,,
985,,Whisky Johnnie Walker Red Label 1000ml,Whisky Johnnie Walker Red Label 1000ml,"18,54",833,,
986,,APC - REPLACEMENT BATTERY CARTRIDGE #110,APC REPLACEMENT BATTERY CARTRIDGE #110 (APCRBC110) - Kapacitet: 0VA - Produkt: Extra batteri,631.25,834,,
987,,Ubiquiti UniFi Switch 24 500W - US-24-500W,"TheUbiquiti UniFi Switch 24 500Wis a fully managed twenty-four port PoE+ Gigabit switch that delivers robust performance, intelligent switching for growing networks.Ubiquiti UniFi Switch 24 500W Key FeaturesTotal Non-Blocking Throughput - 26 GbpsSFP Ports - 2Switching capacity: 52 GbpsForwarding rate: 38.69 MppsMaximum power consumption: 500WSupports POE+ IEEE 802.3at/af and 24V Passive PoESwitching PerformanceThe UniFi Switch 24 500Woffers the forwardingcapacity to simultaneously processtraffic on all ports at line rate withoutany packet loss.PoE+ FlexibilityBy default, the UniFi Switch 24 500Wautomatically detects 802.3af/atdevices so they automatically receivePoE. For 24V passive PoE devices,manually enable 24V passive PoEusing the UniFi Controller software.                     Fiber ConnectivityThe UniFi Switch 24 500W provides fiberconnectivity options for easyexpansion of your networks. Each device also includes two SFPports for uplinks of up to 1 Gbps.",444.60,835,,
988,,Omega Seamaster 210.20.42.20.03.001,,,836,,
989,UBiQUiTi,UbiQuiti UniFi Video Camera UVC-G3-PRO,,98322,290,,
990,,SRAM CASSETTE CS XG-1195 11SPD 10-42T,"DESCRIPTIONBoasting a range of 10- to 42-teeth, the 11-speed X-DOME™ gives you total freedom while keeping the steps even. And, combined with the XD™ driver body, it connects to the wheel like nothing before.MODEL IDCS-XG-1195-A1FEATURESXD™ driver body creates more stable hub connection Wide 10-42t gear range-a perfect fit for any ride Optimized gear steps across entire range Open design aids in mud clearance Unique finish for high durabilityTECHNOLOGYJET™With durable JET™ black finish, the cassette looks as tough as it performs—ride after ride. JET™ finish provides a higher level of corrosion resistance.XD™ DRIVER BODYXD™ is a cassette driver body design that allows the use of a 10-tooth small cog and provides an improved interface with the cassette.X-DOME™The revolutionary machined design of the X-DOME™ cassette uses the same grueling manufacturing techniques that produced the PowerDome™ road cassette. With X-DOME™, nine of the cogs are CNC machined together out of a single block of billet steel, creating an incredibly lightweight, precise and strong cassette.SPECIFICATIONSSPEED (CS) 11sGEARING 10-42tCOG FINISH (CASSETTE) Black, SilverTECHNOLOGY (CASSETTE) XGCOG SIZES 10-42t:10,12,14,16,18,21,24,28,32,36,42",449.99,837,,
991,,Tough-Claw™ Clamping Base - RAM® RAP-B-400U,RAM® Tough-Claw™securely mounts on square or round rails.,29.95,6,,
992,,"Seagate IronWolf 6TB 3.5"" NAS HDD",,0,838,,
993,,MSI Radeon RX 580 Armor OC 8GB GDDR5 256-bit (RX 580 ARMOR 8G OC),,73945,401,,
994,,Sony SEL2470Z E-mount Zoom lens Vario-Tessar,"The Sony SEL2470Z E-mount zoom lens is a compact full-frame ZEISS mid-range zoom lens that covers a 24 mm to 70 mm range with a constant maximum aperture of F4, enabling consistent exposure settings at any focal length. The FE 24–70 mm is a premium lens that can deliver superlative image quality with full-frame E-mount cameras, and dust/moisture resistance means consistently reliable performance.Five aspherical elements and one ED glass element in a state-of-the-art optical path suppress aberration for outstanding clarity and beautiful rendering throughout the zoom range. The acclaimed ZEISS T* coating controls reflections for superior contrast, and a circular aperture creates smooth background bokeh with natural highlights.Compatibility-- NXCAM NEXEA50-- NEX-EA50-- FS100-- FS700-- XDCAM PXW-FS5-- FS5K-- FS7-- FS7K-- a5100-- a7-- a7R",1199.99,839,,
995,,Seagate IronWolf PRO 4TB NAS Professional,"3.5"", SATA 6.0Gb/s, 7200RPM, 128MB cache, Agile Array",1261.00,840,,
996,,PD-R7000 SPD-SL PEDALS CARBON 105,,259.0,841,,
997,,Gigabyte GeForce GTX 1660 Ti 6GB Boost Graphics Card,"Available @ CCL, this Gigabyte GeForce GTX 1660 Ti 6GB Overclocked Graphics Card is VR Ready and has HDMI and DisplayPort outputs",2.846E2,161,,
998,,"Super Ubiquinol CoQ10 with Enhanced Mitochondrial Support™ | 50 mg, 30 softgelsSuper Ubiquinol CoQ10 with Enhanced Mitochondrial Support™ | 50 mg, 30 softgelsSuper Ubiquinol CoQ10 with Enhanced Mitochondrial Support™ | 50 mg, 30 softgels",,15.00,683,,
999,Epson,Genuine Epson C13T07934010 Magenta Ink Cartridge (T0793MOEM),,19.99,433,,
1000,,"Monaco Automatic Chronograph Watch In Stainless Steel. The 39 mm Watch Has The \""Gulf\"" Dark Blue, Light Blue And Orange Racing Stripe Dial, Crown At 9 O'Clock And A Blue Leather Strap With Orange Stitching On A Folding Clasp. Model CAW211R.","Tag Heuer Special Edition Monaco Automatic Chronograph Watch In Stainless Steel. The 39 mm Watch Has The \""Gulf\"" Dark Blue, Light Blue And Orange Racing Stripe Dial, Crown At 9 O'Clock And A Blue Leather Strap With Orange Stitching With A Folding Clasp. Model CAW211R.",7250.00,190,,
1001,Canon,Genuine Yellow Canon PFI-1000Y Ink Cartridge - (PFI1000Y),"Genuine Canon PFI-1000Y Yellow Ink CartridgeIf you want your printer to deliver amazing photos, use the original yellow Canon PFI-1000Y LUCIA PRO ink cartridge. The Canon PFI-1000Y pigment yellow ink tank delivers bright and consistent yellow prints. Aside from promising uniform printing, the Canon PFI-1000 yellow ink cartridge also expands colour possibilities and has excellent photo permanence. You can expect stunning details and true-to-life colours with the Canon PFI-1000 yellow print cartridge. This 80ml Canon PFI-1000Y cartridge can print as many as 3,365 photos.Save On Canon PFI-1000 Yellow Ink At Cartridge SaveCartridge Save makes it cheaper to purchase Canon PFI-1000 ink tanks with discounted prices that are hard to match. If you do ever see this genuine Canon PFI1000Y yellow ink for less at a competing website, we'll refund you 100% of the difference. Our low price and money back guarantees should ensure that you get a high quality Canon PFI-1000Y pigment ink cartridge at a low cost. Plus, we offer free UK delivery on every Canon PFI1000Y inkjet cartridge.",44.93,842,,
1002,Pokemon,Pokemon Pokemon Rebel Clash Booster,Pokemon Rebel Clash Booster,3.99,843,,
1003,,Hannspree 27'' led wide fullhd 1920x1080 5ms multimediale VGA/DVI/HDMI nero,Monitor - Hannspree - HL274HPB -,125.41,844,,
1004,SRAM,XG-1295 Eagle Cassette for XD Driver,"Take a quick look at the new X-DOME Eagle cassette. The last dangling shred of an argument in favor of a mountain bike front derailleur is now officially dead.Designed for use with the proven, reliable XD driver body, this 12-speed, 10- to 50-tooth cassette offers an optimal 500-percent gear range at a considerably lighter weight than 2x systems.It carries with it the X-DOME architecture, which, independent tests have concluded, yields the strongest cassettes on the market.New shifting characteristics improve both, inboard and outboard shifting, as well as chain retention.Maximum strength-to-weight ratio is achieved with X-Dome machined 10-cog structure. 10-50 spread equals or exceeds range of heavier 2x drive trains.Fits the same XD drivers that are used for SRAM 10-42 11 speed cassettesLargest cog is aluminumTooth profiles provide better up and down shifting and improve chain retentionTitanium Nitride surface treatment reduces friction and enhances wear10-50t: 10, 12, 14, 16, 18, 21, 24, 28, 32, 36, 42, 50",384.99,336,,
1005,,Cisco Catalyst 2960X-24TS-LL 24 10/100/1000 + 4 SFP LAN Base,,5286.11,188,,
1006,Gigabyte,"Gigabyte Radeon RX 5500 XT OC 8G, 8192 MB GDDR6","Gaming-Grafikkarte Radeon RX 5500 XT von Gigabyte, max. 1.845 MHz GPU-Boost-Takt, 8 GB GDDR6-Speicher, 3x DisplayPort 1.4 / 1x HDMI, Dual-Lüfter-Kühlerdesign",223.23,734,,
1007,,"3M - Gold Privacy Filter 13.3\"" 16:9","3M Gold Privacy Filter 13.3\"" 16:9 (GF133W9B) - Type: Annet Tilbehør",772.50,335,,
1008,,Tinteiro Original Canon PGI-29 Cinzento Claro (4872B001),PGI-29 LGY - Light Grey ink Cartridge,27.37,845,,
1009,,Kingston 16GB DT MicroDuo USB3.0 Pendrive,,3535.43,846,,
1010,,Switch TP-LINK - 5-port metal gigabit switch - switch - 5 porte - unmanaged tl-sg105,,2.077E1,847,,
1011,,i.Pet Cat Tree 126cm Trees Scratching Post Scratcher Tower Condo House Furniture Wood,Free Shipping,113.99,848,,
1012,,"MONITOR SAMSUNG C27F390 27\"" 1920x1080 4MS USB HDMI CURVO NEGRO","68.58 cm (27\"") LED Full HD, VA Curved/1800R, 1920 ? 1080, 250 cd/m², 3000:1, 4 ms, HDMI, D-Sub, A-class, 622.9 x 462.5 x 247.7 mm",187.46,49,,
1013,,APC APCrbc110 Replacement Battery Cartridge #110,APC APCRBC110 Replacement Battery Cartridge #110• For UPS at home &amp;; small businesses supporting computers &amp;; network systems • Guaranteed compatibility with Back-UPS(TM) system • Easy hot-swap installation without downtime • Reliable battery for power spikes &amp;; outages • Recyclable spill-free sealed batter,67.94,472,,
1014,,Crucial by Micron DDR-III8GB (PC3-12800) 1600MHz ECC,,,849,,
1015,,GoPro Dual Battery Charger + Battery,Charger and battery for GoPro HERO series,49.99,218,,
1016,,Sony ILCE7SM3B.CEC - ALPHA A7S MARK III BODY BLACK,"Sony Alpha 7 S III body Full-Frame Mirrorless Camera (4k120p, Fast 0.02s AF, 15-stop wide dynamic range, Double Stabilisation System, Large Battery Capacity)",4178.27,850,,
1017,,Ultra Flair 32GB USB 3.0,"The SanDisk Ultra Flair USB 3.0 flash drive moves your files fast. Spend less time waiting to transfer files and enjoy high-speed USB 3.0 performance of up to 150MB/s1. Its durable and sleek metal casing is tough enough to handle knocks with style. And, with password protection, you can rest assured that your private files stay private2. Store your files in style with the SanDisk Ultra Flair USB 3.0 flash drive.",12.39,851,,
1018,,i.Pet 126cm Multi Level Cat Scratching Tree - Grey,"It is absolutely feline wonderland with our cat tree! Built to satisfy the natural instincts of your precious pet, our Cat Tree include a hosts of nooks and crannies for Tom and Tabby to have hours of fun scratching, hunting, climbing, jumping, hopping or simply lounging around. Plus, with its sisal-covered scratching posts, you can rest assured that your furniture will stay cat-free for a very long time. Not least, the tree is upholstered with a plush velvety surface for extra comfort and style. Best of all, the firm base and sturdy construction ensures that the tree remain a durable cat haven with total peace of mind for you. Can we hear a meow to that?Features Stable wooden construction Natural sisal posts and soft plush cover Multi-level design with ample play areas Sleeping cradles Unique condo design Includes scratching, perching, climbing, sleeping all in one pieceSpecifications: Material: Fir wood, plush cover, and sisal Height: 126mBase dimension: 50cm x 50cm Colour: Dark greyPackage Content1 xCat tree1 xAssembly kit1 x Assembly guide",101.00,852,,
1019,,Xiaomi Redmi Note 8 Pro64GB (6GB RAM),"6.53\"" FHD+ (2340x1080) with Gorilla Glass 5 (Front/Back), Dual SIM, Mediatek Helio G90T Octa-core, 6GB RAM, 64GB Flash, Quad Camera System: 64Mpixel f/1.9 + 8Mpixel f/2.2 + 2Mpixel f/2.4 + 2Mpixel f/2.4 (Back), 20Mpixel f/2.0 (Front), microSD, Android",2490,376,,
1020,,"APC Smart-UPS 1000VA/700W line interactive LCD RM 2U 230V with SmartConnect, 3 years warranty for UPS, only 2 years warranty for","UPS APC Smart-UPS SMT line-interactive / sinusoidala 1000VA / 700W 4conectori C13 rackabil 2U, baterie APCRBC132, optional extindere garantie cu 1/3 ani (WBEXTWAR1YR-SP-03/WBEXTWAR3YR-SP-03)",3500.4802,853,,
1021,,Sandisk Ultra Dual Drive USB 3.1 Type C (32GB),,S$15.00,374,,
1022,,CORSAIR Hydro Series H55 Quiet CPU Cooler processor liquid cooling system,"Hydro Series H55 is the easy cooling upgrade for your Intel CPU. The efficient. self-contained liquid cooling system is quieter and more efficient than stock CPU fans, and the compact design makes it ideal for smaller cases.",145.99,628,,
1023,,KINGSTON 256GB USB 3.0 DATATRAVELER 100 G3,,1124.74,162,,
1024,Epson,Epson Magenta Inkjet Cartridge. For use in WP4000/4500 machines. Page Yield - up to 1200 pages. OEM Ref - T703340. (Big Ben) EP49007,Epson Magenta Inkjet Cartridge. For use in WP4000/4500 machines. Page Yield - up to 1200 pages. OEM Ref - T703340. (Big Ben) EP49007,21.04,854,,
1025,Apple,Apple Wireless Charging Case for AirPods,"With the Wireless Charging Case, charging is as simple as placing your AirPods in the case and laying it on a Qi-compatible charging mat. The LED indicator on the front of the case lets you know that your AirPods are charging.",79.00,855,,
1026,,HDD WD RED PRO 4TB WD4003FFBX 7200 SATA III,,768.23,856,,
1027,,SanDisk Extreme Portable SSD Drive (2TB),"The ruggedized SanDisk Extreme® Portable SSD delivers high-speed transfers with up to 550MB/s read speeds.** This makes it perfect for saving and editing hi-res photos and videos. With an IP55 rating[1] and a solid state core, it also stands up to rain, spills, dust1, and drops.[2]Key FeaturesUp to 550MB/s read speeds**With high-performance transfers with up to 550MB/s read speeds**, the SanDisk Extreme® Portable SSD lets you offload files in a snap.Works with Windows and Mac, USB-C or USB-ADesigned to work with both Windows and Mac, the SanDisk Extreme® Portable SSD is equipped with a USB 3.1 Type-C connector and also includes a USB Type-C to Type-C cable and a Type-C to Type-A adapter, meaning it will work with the PCs and Macs of today, tomorrow and yesterday. Compact, Pocket-Sized DesignGood things come in small sizes! The SanDisk Extreme® Portable SSD delivers high-performance and capacity in a drive that’s smaller than a smartphone. Built by a technology leaderMore than 25 years ago the SanDisk® brand created the world’s first flash-based solid state drive and that was just the beginning. As a technology leader, we ensure that our products continue to deliver superior performance that you can rely on. ** Based on internal testing; performance may be lower depending on drive capacity, host device, OS and application. 1MB=1,000,000 bytes.[1] IEC 60529 IP55: Tested to withstand water flow (30 kPa) at 3 min.; limited dust contact does not interfere with operation. Must be clean and dry before use. [2] Up to 2M (6.5’) on a concrete floor",389,857,,
1028,Ubiquiti Networks (UBNT),Ubiquiti UniFi 4K Video Camera G4 Pro,"Ubiquiti UniFi 4K Video Camera G4 Pro (3x Powered Optical Zoom, 24FPS, 4K2K Resolution)",568.28,858,,
1029,,Epson A3 Premium Glossy Photo Paper 255gsm (Pack of 20),"Provides a smooth and clear surface for printing, 255gsm weight offers lasting protection, Glossy finish for added quality, Format: A3 (297 x 420mm), Pack of 20 sheets",36.48,133,,
1030,Cooler Master,Cooler Master MasterLiquid ML360R ARGB 360mm Liquid CPU Cooler MLX-D36M-A20PC-R1 | PCByte,"Radiator size : 360mmFan Dimensions : 120 x 120 x 25mm (x3)Fan speed : 650 ~ 2000RPM (PWM)15 High Lumen ARGB LEDsRated voltage : 12 VDCConnector : 4-PinCompatibility: LGA2066, LGA2011-v3, LGA2011, LGA1200, LGA1151, LGA1150, LGA1156, LGA1366, LGA775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",189.0,859,,
1031,,HyperX FURY - DDR3 - 8 GB - DIMM 240-pin - unbuffered,"HyperX HX316C10F/8 is a 1G x 64-bit (8GB) DDR3-1600 CL10 SDRAM (Synchronous DRAM) 2Rx8 memory module, based on sixteen 512M x 8-bit DDR3 FBGA components. This module has been tested to run at DDR3-1600 at low latency timing.",79.99,329,,
1032,TP-LINK,TP-LINK TL-SG1024 - Gigabit Ethernet switch - 24 Poorts,Unmanaged,99.00,860,,
1033,Manfrotto,Manfrotto Manfrotto MVH502AH Pro Video Head,,214.99,861,,
1034,,Hikvision DS-7608NI-I2-8P 8 Channel Network Video Recorder,"The Hikvision DS-7608NI-I2-8P is an 8 channel network video recorder with 8 PoE ports built in making it simple and easy to set up. This NVR has two spaces for hard drives and can hold a maximum of 20TB of storage.The DS-7608NI-I2-8P can record cameras up to 12MP and supports H.265+ video compression. With a HDMI and VGA output, a monitor can be easily connected. The NVR can also be accessed through Hik-Connect or a browser.Two way audio is supported by the DS-7608NI-I2-8P along with other features such as VCA detection alarm and Automatic Number Plate Recognition (ANPR) support.The DS-7608NI-I2-8P comes with a power supply and a mouse included.This NVR will accept any capacity hard drive (HDD) currently available. Any maximum capacity stated on the manufacturer’s documents is simply based upon the maximum HDD size that was available at the time of release/publication.Max. HDD support - 20TB (2 x 10TB)Max: supported IP cameras - 8 Max: Megabits per second (Mbps) - 80Please note that Hikvision NVRs are supplied without hard drives. We recommend the WD Purple Series HDD for this product.Hikvision NVR User ManualHikvision NVR Quick Start GuideHikvision Product Catalogue Hikvision Quick Guide",261.50,862,,
1035,,AirPods with Wireless Charging Case,"More magical than ever.The new AirPods — complete with Wireless Charging Case — deliver the wireless headphone experience, reimagined. Just pull them out of the case and they’re ready to use with your iPhone, Apple Watch, iPad or Mac.After a simple one-tap setup, AirPods work like magic. They’re automatically on and always connected. AirPods can even sense when they’re in your ears and pause when you take them out.To adjust the volume, change the song, make a call or even get directions, simply say “Hey Siri” and make your request. You have the freedom to wear one or both AirPods, and you can play or skip forward with a double-tap when listening to music or podcasts.Charge your AirPods quickly and easily with the Wireless Charging Case. Just set the case down on a Qi-compatible charging mat and let it charge. The LED indicator on the front of the case lets you know that your AirPods are charging. And when you’re away from a charging mat, you can use the Lightning port to charge.AirPods deliver 5 hours of listening timeand 3 hours of talk time on a single charge.And they’re made to keep up with you, thanks to a Wireless Charging Case that holds multiple charges for more than 24hours of listening time.Need a quick charge? Just 15 minutes in the case gives you 3 hours of listening timeor 2 hours of talk time.Powered by the all-new Apple H1 headphone chip, AirPods use optical sensors and motion accelerometers to detect when they’re in your ears. Whether you’re using both AirPods or just one, the H1 chip automatically routes the audio and engages the microphone. And when you’re on a call or talking to Siri, an additional speech-detecting accelerometer works with beamforming microphones to filter out external noise and focus on the sound of your voice.",2.6999E2,863,,
1036,,Kingston Canvas Select Plus 32GB Class 10 UHS-I SDHC Memory Card,"Capture cinematic Full HD and 4K UHD videosKingston’s Canvas Select Plus SD card is designed with exceptional performance, speed and durability for heavy workloads such as transferring and developing high-resolution photos or capturing and editing full HD videos. It can reach Class 10 UHS-I speeds up to 100 MB/s* for easy storage and quick transfers along with an advanced UHS-I interface that can record cinematic Full HD and 4K Ultra HD videos. The Canvas Select Plus SD card is built to perform in the harshest environments and conditions so you can take it anywhere knowing that your files, photos and videos are protected. Available in multiple capacities up to 512 GB** and with a lifetime warranty. * Speed may vary due to host hardware, software and usage.** Some of the listed capacity on a Flash storage device is used for formatting and other functions and thus is not available for data storage. As such, the actual available capacity for data storage is less than what is listed on the products. For more information, go to Kingston’s Flash Memory Guide at kingston.com/flashguide.",6.54E0,864,,
1037,,Apple Wireless Charging Case for AirPods,Carrying case with wireless Qi recharging,79.00,865,,
1038,Shimano,SM-RT86 XT Ice-Tec 6-bolt Disc Brake Rotor 180mm,"##Shimano SM-RT86 XT Ice-Tec 6-bolt Disc Brake Rotor a180mmShimano's 180mm SMRT86 XT Ice-Tec 6-bolt Disc Brake Rotor offers outstanding performance. A three-layered construction from alloy and steel ensures heat quickly radiates through the aluminium core and disperses, keeping the temperatures down. Used together with Ice-Tec pads, temperatures can drop by as much as 100 degrees C, from 400 to 300 degrees. This reduction ultimately leads to improved pad longevity and performance, reduced noise and less fade.The 6-bolt mounting system makes for easy installation, and the rotor's surface is supported by a large forged aluminium spider, keeping rigidity high and weight low.",37,866,,
1039,,SANDISK ULTRA USB 3.0 DRIVE 64GB,"SanDisk Ultra USB 3.0 Flash DriveTransfer A Full-Length Movie In Less Than 40 SecondsProduct DescriptionThe SanDisk Ultra USB 3.0 Flash Drive combines faster data speeds and generous capacity in a compact, stylish package. Spend less time waiting and transfer files to the drive up to ten times faster than with a standard USB 2.0 drive. With storage capacities up to 256GB, the drive can accommodate your bulkiest media files and documents.FeaturesWith transfer speeds of up to 100MB/s the SanDisk Ultra USB 3.0 Flash Drive reduces the time you'll spend waiting for files to move from the flash drive to your computer. Enabled for USB 3.0, this fast drive lets you transfer and store large files up to ten times faster than USB 2.0 drives.High-capacity drive accommodates large filesStylish, portable designSanDisk SecureAccess™ software keeps files private",4.453949999999999E1,584,,
1040,,Copy TAG Heuer Carrera Calibre 16 CBK2110.FC6266,"Buy Copy TAG Heuer Carrera Calibre 16 CBK2110.FC6266 OnlineBasic InfoReference number CBK2110.FC6266Brand TAG HeuerModel Carrera Calibre 16Movement AutomaticCase material SteelBracelet material Crocodile skinCondition NewGender Men's watch/UnisexCaliberMovement AutomaticCaseCase material SteelThickness 41 mmGlass Sapphire GlassDial BlackBracelet/strapBracelet material Crocodile skinBracelet color BlackClasp Fold claspThe bestrepwatch.co is an online shop that has been selling replica watches for the past 8 years and can therefore name itself the market leader in replica watches. Many brand watches from Rolex, OMEGA or Breitling are available as replicas. Swiss replicas with ETA movement are also on offer. For many years, we have been supplying customers throughout Europe, America, Asia. Various payment methods are possible. Here in our online store, Swiss Replica TAG Heuer Carrera Calibre 16 CBK2110.FC6266 at cheap discount.",129.6,867,,
1041,,LOGITECH UC Corded Mono USB Headset H570e (Leatherette Pad) - Business EMEA,LOGITECH UC Corded Mono USB Headset H570e (Leatherette Pad) - Business EMEA,0.001,702,,
1042,TAG Heuer,TAG Heuer Formula 1 Quartz Alarm Watch,TAG Heuer Formula 1 Quartz Alarm Watch - this product is manufactured by TAG Heuer in Switzerland (and maybe in other countries),,868,,
1043,,Epson Blekk T9454 XL Yellow,"DURABrite Pro, inntil 5000 sider, for WorkForce Pro 52XX/57XX",995.00,869,,
1044,,TAG HEUER FORMULA 1 QUARTZ,		SIZE	41 mm			WATER RESISTANCE	200 M			BODY CASE	Fine-brushed and polished steel			BEZEL	Unidirectional turning bezel	Fine-brushed steel	,0,585,,
1045,,Kingston DataTravelerDT80 32GB USB-C 3.2 gen. 1,,5881,870,,
1046,,Core i7 8700K 3.7GHz,,,871,,
1047,,"RAM Large Tough-Claw with 1\"" Diameter Rubber Ball","The RAM RAP-B-401U RAM Large Tough-Claw with 1\"" Diameter Rubber Ball from the RAM Mount Bases range is made for square, round, and also oddly-shaped bars and rails. This can be fastened on rails that are sized 1” to 2.25” outer diameter. This is the ideal mounting base for simple and speedy removal and installation, the perfect fit for users who are on the go. Additional possible applications include mounting it on kayaks, bicycles, aircrafts, and more.",$49.81 (NZD),872,,
1048,,"LaCie Rugged IP54 5TB 2.5\"" HDD Thunderbolt3 & /USB3.1 Type C w/integrated cable",,299,219,,
1049,,Zebra 800015-101 1000 Prints Black Resin Ribbon for P310i P420i P520i,"Zebra 800015-101Produce up to 1000 prints with Zebra 800015-101 ribbons. The black resin of this ribbon is prmarily used for printing readable barcodes and one-colour text. It is best fit for P310i-P520i series ID card printers.As with all ribbons in the True Colour range, you will also receive automatic ribbon detection and printer driver configuration, enhanced ribbon formulation for optimal colour output and a notification when the ribbon count is low.SpecificationsPrint Color: BlackCompatibility: P310i | P320i | P330i | P420i | P430i | P520iYield: 1000 prints",5.949999E1,873,,
1050,,Manfrotto Befree Advanced Travel Tripod,"Making improvements on their increasingly popular compact tripod range, Manfrotto have introduced the Befree Advanced travel Tripod. A quick and easy to adjust ball and socket head with brand new M-lock system make this tripod perfect for travel and day-trips, emphasised by its ability for quick setup and pack up. An 8KG payload and dedicated quick release plate make this tripod suitable for use with DSLRs and Compact system cameras with various lenses, while the ability to set the legs to 3 independent angles encourages creative framing.Payload: 8KGWeight: 1490 gramsMin Height: 40cmExtended height: 150cmNew quick and ergonomic M-lock system",349.95,874,,
